Kode,Nama,Tahun
02.07.03.06.01,Antena MF/MW Portable,2007
02.07.03.06.02,Antena MF/MW Transprotable,2007
02.07.03.06.03,Antena MF/MW Stationary,2007
02.07.03.06.04,Lain-lain,2007
02.07.03.07,Peralatan Antena HF/SW,2007
02.07.03.07.01,Antena HF/SW Portable,2007
02.07.03.07.02,Antena HF/SW Transprotable,2007
02.07.03.07.03,Antena HF/SW Stationary,2007
02.07.03.07.04,Lain-lain,2007
02.07.03.08,Peralatan Antena VHF/FM,2007
02.07.03.08.01,Antena VHF/FM Portable,2007
02.07.03.08.02,Antena VHF/FM Transprotable,2007
02.07.03.08.03,Antena VHF/FM Stationary,2007
02.07.03.08.04,Lain-lain,2007
02.07.03.09,Peralatan Antena UHF,2007
02.07.03.09.01,Antena UHF Portable,2007
02.07.03.09.02,Antena UHF Transprotable,2007
02.07.03.09.03,Antena UHf Stationary,2007
02.07.03.09.04,Lain-lain,2007
02.07.03.10,Peralatan Antena SHF/Parabola,2007
02.07.03.10.01,Antena SHF Portable,2007
02.07.03.10.02,Antena SHF Transprotable,2007
02.07.03.10.03,Antena SHF Stationary,2007
02.07.03.10.04,Lain-lain,2007
02.07.03.11,Peralatan Translator VHF/VHF,2007
02.07.03.11.01,Translator VHF/VHF Portable,2007
02.07.03.11.02,Translator VHF/VHF Transprotable,2007
02.07.03.11.03,Translator VHF/VHF Stationary,2007
02.07.03.11.04,Lain-lain,2007
02.07.03.12,Peralatan Translator UHF/UHF,2007
02.07.03.12.01,Translator UHF/UHF Portable,2007
02.07.03.12.02,Translator UHF/UHF Transprotable,2007
02.07.03.12.03,Translator UHF/UHF Stationary,2007
02.07.03.12.04,Lain-lain,2007
02.07.03.13,Peralatan Translator VHF/UHF,2007
02.07.03.13.01,Translator VHF/UHF Portable,2007
02.07.03.13.02,Translator VHF/UHF Transprotable,2007
02.07.03.13.03,Translator VHF/UHF Stationary,2007
02.07.03.13.04,Lain-lain,2007
02.07.03.14,Peralatan Translator UHF/VHF,2007
02.07.03.14.01,Translator UHF/VHF Portable,2007
02.07.03.14.02,Translator UHF/VHF Transprotable,2007
02.07.03.14.03,Translator UHF/VHF Stationary,2007
02.07.03.14.04,Lain-lain,2007
02.07.03.15,Peralatan Microwave FPU,2007
02.07.03.15.01,Microwave FPU Portable,2007
02.07.03.15.02,Microwave FPU Transportable,2007
02.07.03.15.03,Microwave FPU Stationary,2007
02.07.03.15.04,Lain-lain,2007
02.07.03.16,Peralatan Microwave Terestrial,2007
02.07.03.16.01,Microwave Terestrial Portable,2007
02.07.03.16.02,Microwave Terestrial Transportable,2007
02.07.03.16.03,Microwave Terestrial Stationary,2007
02.07.03.16.04,Lain-lain,2007
02.07.03.17,Peralatan Microwave TVRO,2007
02.07.03.17.01,Microwave TVRO Portable,2007
02.07.03.17.02,Microwave TVRO Transportable,2007
02.07.03.17.03,Microwave TVRO Stationary,2007
02.07.03.17.04,Lain-lain,2007
02.07.03.18,Peralatan Dummy Load,2007
02.07.03.18.01,Dummy Load Pendingin Udara,2007
02.07.03.18.02,Dummy Load Pendingin Air,2007
02.07.03.18.03,Dummy Load Pendingin Minyak,2007
02.07.03.18.04,Dummy Load Pendingin Gas,2007
02.07.03.19,Switcher Antena,2007
02.07.03.19.01,Switcher Combination,2007
02.07.03.19.02,Switcher Manual,2007
02.07.03.19.03,Switcher Automatic Motor,2007
02.07.03.19.04,Lain-lain,2007
02.07.03.20,Switcher/Menara Antena,2007
02.07.03.20.01,Self Supporting Tower,2007
02.07.03.20.02,Gury Tower,2007
02.07.03.20.03,Mast Tower,2007
02.07.03.20.04,Concrete Tower,2007
02.07.03.20.05,Lain-lain,2007
02.07.03.21,Feeder,2007
02.07.03.21.01,Open Wire,2007
02.07.03.21.02,Coaxial Feeder,2007
02.07.03.21.03,Antena Tuning Unit,2007
02.07.03.21.04,Dehydrator,2007
02.07.03.21.05,Lain-lain,2007
02.07.03.22,Humitity Control,2007
02.07.03.22.01,Dehumidifier,2007
02.07.03.22.02,Lain-lain,2007
02.07.03.23,Program Input Eguipment,2007
02.07.03.23.01,Receiver STL/VHF (FM),2007
02.07.03.23.02,Receiver STL/UHF,2007
02.07.03.23.03,Receiver STL/SHF,2007
02.07.03.23.04,TVRO,2007
02.07.03.23.05,Line Amplifier,2007
02.07.03.23.06,SRO,2007
02.07.03.23.07,Line Egualizer,2007
02.07.03.23.08,Automatic Gain Control,2007
02.07.03.23.09,Compresor Amplifier,2007
02.07.03.23.10,Expander Amplifier,2007
02.07.03.23.11,Ettenuator,2007
02.07.03.23.12,Audio Processor,2007
02.07.03.23.13,Stereo Generator FM,2007
02.07.03.23.14,Distributor Amplifier,2007
02.07.03.23.15,Switcher/Patch Panel,2007
02.07.03.23.16,Audio Monitor,2007
02.07.03.23.17,AM Monitor,2007
02.07.03.23.18,FM Monitor,2007
02.07.03.23.19,Power Distribution Board,2007
02.07.03.23.20,Lihgtning Protector,2007
02.07.03.23.21,All Band Receiver,2007
02.07.03.23.22,Change Over Switch,2007
02.07.03.23.23,Lain-lain,2007
02.07.03.24,Peralatan Antena Penerima VHF,2007
02.07.03.24.01,Antena Penerima VHF,2007
02.07.03.24.02,Lain-lain,2007
02.08,ALAT-ALAT KEDOKTERAN,2007
02.08.01,ALAT KEDOKTERAN,2007
02.08.01.01,Alat Kedokteran Umum,2007
02.08.01.01.01,Sterilisator,2007
02.08.01.01.02,Ninor Surgocal,2007
02.08.01.01.03,Diagnostik Set,2007
02.08.01.01.04,Stetoscope,2007
02.08.01.01.05,Tensi Meter,2007
02.08.01.01.06,Wickham,2007
02.08.01.01.07,Sead Lasp,2007
02.08.01.01.08,Waskom,2007
02.08.01.01.09,Timbangan Badan,2007
02.08.01.01.10,Timbangan Bayi,2007
02.08.01.01.11,Kocher,2007
02.08.01.01.12,Metal Catheter,2007
02.08.01.01.13,Sleuf Zondo,2007
02.08.01.01.14,Anatomische Pinset,2007
02.08.01.01.15,Chirugical Pinset,2007
02.08.01.01.16,Maal Vesder,2007
02.08.01.01.17,Arteri Klem,2007
02.08.01.01.18,Licht Kast,2007
02.08.01.01.19,Instrument Kabinet,2007
02.08.01.01.20,Agraaf,2007
02.08.01.01.21,Gunting Bengkok,2007
02.08.01.01.22,Gunting Lurus,2007
02.08.01.01.23,Luope,2007
02.08.01.01.24,Needle Holder,2007
02.08.01.01.25,Weighing Scale,2007
02.08.01.01.26,Cobned Phys Office Scale,2007
02.08.01.01.27,Measuring Red,2007
02.08.01.01.28,Measuring Tape,2007
02.08.01.01.29,Single Basin Stand,2007
02.08.01.01.30,Two Basin Stand,2007
02.08.01.01.31,Instrument Dressing Table,2007
02.08.01.01.32,Phisyian Bag,2007
02.08.01.01.33,Lumbar Puntare Ins. Set.,2007
02.08.01.01.34,Trocart,2007
02.08.01.01.35,Infusing Out Fit,2007
02.08.01.01.36,Infusing Stand,2007
02.08.01.01.37,Aplicator,2007
02.08.01.01.38,Cotton Tip Aplikator,2007
02.08.01.01.39,Elektro Surgikal Knife,2007
02.08.01.01.40,Scalpel,2007
02.08.01.01.41,Auto Clape,2007
02.08.01.01.42,Sponge Bowl,2007
02.08.01.01.43,Strether,2007
02.08.01.01.44,Instrument Table,2007
02.08.01.01.45,Tratment Cabinet,2007
02.08.01.01.46,Phisychians Examining Lamp,2007
02.08.01.01.47,Blood Circumcis Clamps,2007
02.08.01.01.48,Probe With Trianggular,2007
02.08.01.01.49,Probe With Eye,2007
02.08.01.01.50,Crooved Dir Withtonguetie,2007
02.08.01.01.51,Grooved Dir Probe/Tie,2007
02.08.01.01.52,Grooved Dir Probe/Tie,2007
02.08.01.01.53,Bakun Sponge Forceps,2007
02.08.01.01.54,Pheimo Thrax Apparatus,2007
02.08.01.01.55,Pheumo Pritineum Apparatus,2007
02.08.01.01.56,Nirbekhem,2007
02.08.01.01.57,Slip Ten Tang,2007
02.08.01.01.58,Probe,2007
02.08.01.01.59,Korem Tang,2007
02.08.01.01.60,Senter,2007
02.08.01.01.61,Montir/Stemper,2007
02.08.01.01.62,Tabung Oksigen,2007
02.08.01.01.63,Gelas Supit,2007
02.08.01.01.64,Pispot Sendok,2007
02.08.01.01.65,Kereta Makan,2007
02.08.01.01.66,Baskom Makan,2007
02.08.01.01.67,Rak Pispot,2007
02.08.01.01.68,Lain-lain,2007
02.08.01.02,Alat Kedokteran Gigi,2007
02.08.01.02.01,Dental Chair,2007
02.08.01.02.02,Dental Unit,2007
02.08.01.02.03,X Ray Unit,2007
02.08.01.02.04,Air Set Airamatik,2007
02.08.01.02.05,Hand Instrument,2007
02.08.01.02.06,Forcep,2007
02.08.01.02.07,Oral Surgical Set,2007
02.08.01.02.08,Apdent Juster,2007
02.08.01.02.09,Aero Sterilisator,2007
02.08.01.02.10,Operating Chair,2007
02.08.01.02.11,Infra Red,2007
02.08.01.02.12,Sendok Cetak,2007
02.08.01.02.13,Clinical Chair,2007
02.08.01.02.14,Dosator,2007
02.08.01.02.15,Minor Surgical Set,2007
02.08.01.02.16,Dental Sunceon Set,2007
02.08.01.02.17,Dental X Ray Trafo,2007
02.08.01.02.18,Polish Motor,2007
02.08.01.02.19,Gavitron Generator,2007
02.08.01.02.20,Niva Lita,2007
02.08.01.02.21,Dental Field Elektronik,2007
02.08.01.02.22,Dental Cabinet,2007
02.08.01.02.23,Dental Potable Cabinet,2007
02.08.01.02.24,Contra Angle,2007
02.08.01.02.25,Engine Belt,2007
02.08.01.02.26,Bein,2007
02.08.01.02.27,Mesial Cryer,2007
02.08.01.02.28,Distal Cryer,2007
02.08.01.02.29,Water Syringe,2007
02.08.01.02.30,Air Blower,2007
02.08.01.02.31,Cotton Herder,2007
02.08.01.02.32,Record Syringe,2007
02.08.01.02.33,Cartrige Syringe,2007
02.08.01.02.34,Cartrige Needle,2007
02.08.01.02.35,Gun Scissors,2007
02.08.01.02.36,Dappen Glass,2007
02.08.01.02.37,Think Glass Plate,2007
02.08.01.02.38,Thin Glass Plate,2007
02.08.01.02.39,Matrix Retamer + Band,2007
02.08.01.02.40,Mouth Murror + Handle,2007
02.08.01.02.41,Cement Spatula,2007
02.08.01.02.42,Agaat,2007
02.08.01.02.43,Plastisch Intrument,2007
02.08.01.02.44,Cemant Stopper,2007
02.08.01.02.45,Amigan Stopper,2007
02.08.01.02.46,Burnisher,2007
02.08.01.02.47,Scaler,2007
02.08.01.02.48,Excavator,2007
02.08.01.02.49,Celluloid Stips,2007
02.08.01.02.50,Metal Polishing Strips,2007
02.08.01.02.51,Mercury Droping Bottle,2007
02.08.01.02.52,Countra Angle Burs & Fiss,2007
02.08.01.02.53,Hand Piece Burs,2007
02.08.01.02.54,Dental Equipment,2007
02.08.01.02.55,Lain-lain,2007
02.08.01.03,Alat Kedokteran Keluarga Berencana,2007
02.08.01.03.01,Geneacologie Tafel,2007
02.08.01.03.02,Truno Gas,2007
02.08.01.03.03,Service Model,2007
02.08.01.03.04,Speculum,2007
02.08.01.03.05,Uterin Desing,2007
02.08.01.03.06,Tenaxulum,2007
02.08.01.03.07,Instrument Tray,2007
02.08.01.03.08,Utrerin Zonde,2007
02.08.01.03.09,Uterine Packing Forceps,2007
02.08.01.03.10,Uterine Aplikator,2007
02.08.01.03.11,Uterine Dillator (1 Set),2007
02.08.01.03.12,Uterine Tenaculum Forceps,2007
02.08.01.03.13,Uterine Scisors,2007
02.08.01.03.14,Uterine Elevating Forceps,2007
02.08.01.03.15,Uterine Curette,2007
02.08.01.03.16,Abortive Curette,2007
02.08.01.03.17,Uterine Seizing Forceps,2007
02.08.01.03.18,Uterine Gauze Packer,2007
02.08.01.03.19,Uterine Dauche,2007
02.08.01.03.20,Uterine Biospy Curette,2007
02.08.01.03.21,Uterine Suction Curette,2007
02.08.01.03.22,Uterine Tissue Forceps,2007
02.08.01.03.23,Obstretical Vac Exter Set,2007
02.08.01.03.24,Obstretical Forceps,2007
02.08.01.03.25,Sponge Dressing Forceps,2007
02.08.01.03.26,Placentta An Ovum Forceps,2007
02.08.01.03.27,Comb Cencep Tribe,2007
02.08.01.03.28,Decapitation Hook,2007
02.08.01.03.29,Prefator,2007
02.08.01.03.30,Decapitation Scissors,2007
02.08.01.03.31,Membrane Perfomator,2007
02.08.01.03.32,Nelaton Urethral Catheter,2007
02.08.01.03.33,Methal Urethral Catheter,2007
02.08.01.03.34,Pelvi Meter,2007
02.08.01.03.35,Internal Pelvi Meter,2007
02.08.01.03.36,Adult Badpan,2007
02.08.01.03.37,Obtecal/Dilivery/Table,2007
02.08.01.03.38,Istrument & Dress Table,2007
02.08.01.03.39,Floor Utensil Rack,2007
02.08.01.03.40,Tray Carriege,2007
02.08.01.03.41,Human Body Mdl Male,2007
02.08.01.03.42,Human Body Mdl Female,2007
02.08.01.03.43,Foolding Screem,2007
02.08.01.03.44,Oxigen Inhaler Apparat,2007
02.08.01.03.45,Oxigen Cilinder Track,2007
02.08.01.03.46,Oxigen Regulator,2007
02.08.01.03.47,Feeding Cup,2007
02.08.01.03.48,Vaginal Tip,2007
02.08.01.03.49,Infant Rectal Tip,2007
02.08.01.03.50,Adult Rectal Tip,2007
02.08.01.03.51,Infant Rectal Syringe,2007
02.08.01.03.52,Trach Catheter/Trap,2007
02.08.01.03.53,Clef Palate/NIP/Trap,2007
02.08.01.03.54,Intra Uterine Syringe,2007
02.08.01.03.55,Cerpical/Pedical Needle,2007
02.08.01.03.56,Placenta Model,2007
02.08.01.03.57,Gevecolod Bed,2007
02.08.01.03.58,Scemmer Lamp,2007
02.08.01.03.59,Kom. Metal,2007
02.08.01.03.60,Lonceet,2007
02.08.01.03.61,Rectal Camula,2007
02.08.01.03.62,Acteri Clemkly,2007
02.08.01.03.63,Standard Cruber,2007
02.08.01.03.64,Vaginal Powder Blower,2007
02.08.01.03.65,Lain-lain,2007
02.08.01.04,Alat Kedokteran Mata,2007
02.08.01.04.01,Hand Ophthalmoscope,2007
02.08.01.04.02,Ophthalmoscope,2007
02.08.01.04.03,Komoto Skiascope,2007
02.08.01.04.04,Test Frame,2007
02.08.01.04.05,Lens Meter,2007
02.08.01.04.06,Test Lens Meter,2007
02.08.01.04.07,Dist. Testchart (Adults),2007
02.08.01.04.08,Dist. Testchart (Child),2007
02.08.01.04.09,Ishara Eye Retracktor,2007
02.08.01.04.10,Placido Keratoscope,2007
02.08.01.04.11,Desmare Eye Retracktor,2007
02.08.01.04.12,Schioetz Tonometer,2007
02.08.01.04.13,Grac Cataract Knipe,2007
02.08.01.04.14,Center Poin Scal,2007
02.08.01.04.15,Lid Scalpel,2007
02.08.01.04.16,Cistotome,2007
02.08.01.04.17,Jaeger Keratome,2007
02.08.01.04.18,Paracentesis Needle,2007
02.08.01.04.19,Cormeal Cerette,2007
02.08.01.04.20,Enucleations Scoop,2007
02.08.01.04.21,Strabismas Hook,2007
02.08.01.04.22,Fixation Hook,2007
02.08.01.04.23,Double And Hook,2007
02.08.01.04.24,Boiton Needle Horder,2007
02.08.01.04.25,Laerimal Probes,2007
02.08.01.04.26,Daviel Lens Scope,2007
02.08.01.04.27,Dressing Forceps,2007
02.08.01.04.28,Conjunctivital Forceps,2007
02.08.01.04.29,Fication Forceps,2007
02.08.01.04.30,Iris Forceps,2007
02.08.01.04.31,Schwieger Caps Forceps,2007
02.08.01.04.32,Elshning Caps Forceps,2007
02.08.01.04.33,Hata Entropium Forceps,2007
02.08.01.04.34,Kunt Entropium Forceps,2007
02.08.01.04.35,Yokomatsui trachoma forceps,2007
02.08.01.04.36,Knapp Trachoma Forceps,2007
02.08.01.04.37,Wecker Iris Forceps,2007
02.08.01.04.38,Marsusawa trachoma rasp,2007
02.08.01.04.39,Portable Trans Formar,2007
02.08.01.04.40,OPH Operation Table,2007
02.08.01.04.41,Wiss eye Speculum,2007
02.08.01.04.42,Mellingen Eye Speculum,2007
02.08.01.04.43,Lain-lain,2007
02.08.01.05,Alat Kedokteran T.H.T,2007
02.08.01.05.01,Transformator 4-6 Volt,2007
02.08.01.05.02,Vena disection,2007
02.08.01.05.03,Anenthetis Apparatus,2007
02.08.01.05.04,Ultra Violet Lamp,2007
02.08.01.05.05,Corp Alinum Natal Hook,2007
02.08.01.05.06,Cerumen Ear Hook,2007
02.08.01.05.07,Era Speculum 1.2.3.,2007
02.08.01.05.08,Tuning Fork,2007
02.08.01.05.09,Politzer Air Bag,2007
02.08.01.05.10,Eustachian Catheter,2007
02.08.01.05.11,Suction Pump,2007
02.08.01.05.12,Ear Cotton Aplicator,2007
02.08.01.05.13,Ear Perforation Knife,2007
02.08.01.05.14,Ear Furuncle Knife,2007
02.08.01.05.15,Ear Banyonet Forceps,2007
02.08.01.05.16,Era Knee Forceps,2007
02.08.01.05.17,Eartman Ear Forps,2007
02.08.01.05.18,Krause Ear Snare,2007
02.08.01.05.19,Powder Blower,2007
02.08.01.05.20,Era Syringe (200 CC),2007
02.08.01.05.21,Man Passow Retractor,2007
02.08.01.05.22,Jensen Retrector,2007
02.08.01.05.23,Hartmanna attic Canutte,2007
02.08.01.05.24,Antrum Hook,2007
02.08.01.05.25,Volman Hone Curette,2007
02.08.01.05.26,Vulkman Retr 2.3.4. Prog,2007
02.08.01.05.27,Langenback Retractor,2007
02.08.01.05.28,Peroistal retractor,2007
02.08.01.05.29,Lengenback Raspatory,2007
02.08.01.05.30,Barth bone curette,2007
02.08.01.05.31,Cittisin Bone nib rong,2007
02.08.01.05.32,Lucae Ronguer,2007
02.08.01.05.33,Groved Director,2007
02.08.01.05.34,Krause Nasal Snare,2007
02.08.01.05.35,Hman turbin Scissors,2007
02.08.01.05.36,Ballger Sept. Knife,2007
02.08.01.05.37,KillNasal Wing Retf,2007
02.08.01.05.38,Kill Max antrum Canula,2007
02.08.01.05.39,Maxilary Antum Trocar,2007
02.08.01.05.40,Max Sinus Mikosa/C>K,2007
02.08.01.05.41,Kill Nasal Sinus Muc. Curt,2007
02.08.01.05.42,Smell Instrument Sterelized,2007
02.08.01.05.43,Killian Bone Hemostat,2007
02.08.01.05.44,Hartman Nasal Speculum,2007
02.08.01.05.45,kitl Nasal Speculum,2007
02.08.01.05.46,Ethmold Curette,2007
02.08.01.05.47,Kitl Nasal G&G,2007
02.08.01.05.48,Kitl Eyebell Protect,2007
02.08.01.05.49,Mack/Bale tonsitome,2007
02.08.01.05.50,Tonsil Knife/Disector,2007
02.08.01.05.51,Tonsil Snace,2007
02.08.01.05.52,Tonsil sciccrors,2007
02.08.01.05.53,Tonsil Diss & Pir Retr,2007
02.08.01.05.54,Tonsil Suction Canula,2007
02.08.01.05.55,Prophy Bistoury,2007
02.08.01.05.56,Fincer Guard,2007
02.08.01.05.57,Backman Adnoid Cur,2007
02.08.01.05.58,White Hwad - Jen Moth G,2007
02.08.01.05.59,Laryngoscope,2007
02.08.01.05.60,Laryngeal Syringe,2007
02.08.01.05.61,Laryngeal Minor,2007
02.08.01.05.62,Laryngeal abpicator,2007
02.08.01.05.63,Grasping Forceps,2007
02.08.01.05.64,Kitl Frontal Sinusprobe,2007
02.08.01.05.65,Kitl Frontal Sinus cam,2007
02.08.01.05.66,Trous Trachear Dilator,2007
02.08.01.05.67,Frankel Lary Knite,2007
02.08.01.05.68,Kcoher Coitre Proble,2007
02.08.01.05.69,tracntomy Instrumen,2007
02.08.01.05.70,Emerg Trachtomy Inst,2007
02.08.01.05.71,Trachjeal Tube ( 1 Set ),2007
02.08.01.05.72,Bronchscope set,2007
02.08.01.05.73,Lope For Endoscopic,2007
02.08.01.05.74,Teles For Endoscopic,2007
02.08.01.05.75,Proef Appar - atus,2007
02.08.01.05.76,Caloric Test Set,2007
02.08.01.05.77,Microwavetheraphy Aparat,2007
02.08.01.05.78,Aodimeter,2007
02.08.01.05.79,Infant Audiometer,2007
02.08.01.05.80,Infant Audiometer,2007
02.08.01.05.81,Tricloretanesth Apparatus,2007
02.08.01.05.82,News Pincet Lain-lain,2007
02.08.01.05.83,Lain-lain,2007
02.08.01.06,Alat Rontgen,2007
02.08.01.06.01,Diagnostic X Ray,2007
02.08.01.06.02,X Ray Developing Set,2007
02.08.01.06.03,Film Dryer,2007
02.08.01.06.04,Developing Trays,2007
02.08.01.06.05,Comer Cutter,2007
02.08.01.06.06,Film Cutter,2007
02.08.01.06.07,Fluor Fiolm IIIuminator,2007
02.08.01.06.08,Film hangers,2007
02.08.01.06.09,Dark Adaptor coggles,2007
02.08.01.06.10,Safe Lighit Lamp,2007
02.08.01.06.11,Protective Lamp,2007
02.08.01.06.12,Protective Gloves,2007
02.08.01.06.13,Film Clip,2007
02.08.01.06.14,Film Magnifier,2007
02.08.01.06.15,Film Cabinet,2007
02.08.01.06.16,Foldableprotec F S,2007
02.08.01.06.17,Cassette,2007
02.08.01.06.18,Interval Timer,2007
02.08.01.06.19,Ventilation Fan,2007
02.08.01.06.20,X ray Caliper,2007
02.08.01.06.21,Lain-lain,2007
02.08.01.07,Alat Farmasi,2007
02.08.01.07.01,Morter & Posite,2007
02.08.01.07.02,Counter Balance,2007
02.08.01.07.03,Dial Balance,2007
02.08.01.07.04,Anastistic Balance,2007
02.08.01.07.05,Seives All Sizes,2007
02.08.01.07.06,Medicine Can,2007
02.08.01.07.07,Medicine SpoonStainless,2007
02.08.01.07.08,Medicine Spoon Horfr,2007
02.08.01.07.09,Spoon Set,2007
02.08.01.07.10,Wrapping Machine,2007
02.08.01.07.11,Medicine Bottle,2007
02.08.01.07.12,Liquid Medicine Bottle,2007
02.08.01.07.13,"Steril Bottle Witt, Cup",2007
02.08.01.07.14,Droping Bottle,2007
02.08.01.07.15,Graduated Cylinder,2007
02.08.01.07.16,Cylinder Rack,2007
02.08.01.07.17,Presceription Bottle,2007
02.08.01.07.18,Medicine Cup,2007
02.08.01.07.19,Spatula,2007
02.08.01.07.20,Ointment Plate,2007
02.08.01.07.21,Paste Pot,2007
02.08.01.07.22,ointmen Can,2007
02.08.01.07.23,Ointment Pan,2007
02.08.01.07.24,Ointment Jar,2007
02.08.01.07.25,Bottle Washer,2007
02.08.01.07.26,Rotary Bottle Rack,2007
02.08.01.07.27,Lig Medis Bottle Rack,2007
02.08.01.07.28,Capsule Filling Macina,2007
02.08.01.07.29,Presciption Counter,2007
02.08.01.07.30,Capsule Contrainer,2007
02.08.01.07.31,Powder Mixer,2007
02.08.01.07.32,Stirer,2007
02.08.01.07.33,Tablet Machine,2007
02.08.01.07.34,Pump Fiter,2007
02.08.01.07.35,Lain-lain,2007
02.08.01.08,Alat Kedokteran Bedah,2007
02.08.01.08.01,Minor Surgeri Set,2007
02.08.01.08.02,Mayor Sugeri Set,2007
02.08.01.08.03,Nephertomy Set,2007
02.08.01.08.04,Circumsision Set,2007
02.08.01.08.05,Orthopedy Set,2007
02.08.01.08.06,Ractum Set,2007
02.08.01.08.07,Tractheotomy Set,2007
02.08.01.08.08,Gastro Instestinal Set,2007
02.08.01.08.09,Blood Exchange,2007
02.08.01.08.10,Plas And Urology Set,2007
02.08.01.08.11,Thyroidectomy Set,2007
02.08.01.08.12,Anaesthesi APP,2007
02.08.01.08.13,Operating Lamp,2007
02.08.01.08.14,Operating Table,2007
02.08.01.08.15,Electro Surgery,2007
02.08.01.08.16,Endoscopy,2007
02.08.01.08.17,Suction Pump,2007
02.08.01.08.18,Respirator,2007
02.08.01.08.19,ECG Analizer,2007
02.08.01.08.20,CO2 Analizer,2007
02.08.01.08.21,Blood Presure Monitor,2007
02.08.01.08.22,Temperatur Monitor,2007
02.08.01.08.23,Operating Mocroscope,2007
02.08.01.08.24,Infusion Pump,2007
02.08.01.08.25,Cryo Surgery,2007
02.08.01.08.26,UV Sterizer,2007
02.08.01.08.27,Defibrilator,2007
02.08.01.08.28,Patlent Monitor,2007
02.08.01.08.29,Ultra Sound Cleaner,2007
02.08.01.08.30,U SG,2007
02.08.01.08.31,Autoclave Table,2007
02.08.01.08.32,Baby Incubator,2007
02.08.01.08.33,Phono Cardiograph,2007
02.08.01.08.34,Colposcope,2007
02.08.01.08.35,Echotonometer,2007
02.08.01.08.36,Centrifuge,2007
02.08.01.08.37,Plame Photometer,2007
02.08.01.08.38,Spectrophotometer,2007
02.08.01.08.39,Bood Gas Analyser,2007
02.08.01.08.40,Water Bath,2007
02.08.01.08.41,Magnetic Stirrer,2007
02.08.01.08.42,Colony Counter,2007
02.08.01.08.43,Dry Oven,2007
02.08.01.08.44,Instalasi Gas Medis,2007
02.08.01.08.45,Video Camera & Recorder,2007
02.08.01.08.46,Laser Coagulator,2007
02.08.01.08.47,Refrigerator,2007
02.08.01.08.48,Moble Operating Lamp,2007
02.08.01.08.49,Electrolyte Analyzer,2007
02.08.01.08.50,Microtome,2007
02.08.01.08.51,Polygraph,2007
02.08.01.08.52,Mobile X-RayC-am,2007
02.08.01.08.53,Lain-lain,2007
02.08.01.09,Alat Kesehatan Kebidanan dan Penyakit Kandungan,2007
02.08.01.09.01,Normal Delevey Set,2007
02.08.01.09.02,Eysterectomy Set,2007
02.08.01.09.03,Caesarean Section Set,2007
02.08.01.09.04,Pattologikal Delivery Set,2007
02.08.01.09.05,Embryotomy Set,2007
02.08.01.09.06,Vaginal Stresation,2007
02.08.01.09.07,Perinatiologi Set,2007
02.08.01.09.08,Curetate and dilation Set,2007
02.08.01.09.09,Vaginal revair set,2007
02.08.01.09.10,Basic obsteric set,2007
02.08.01.09.11,Ginological Examining Table,2007
02.08.01.09.12,Delevery and operating Table,2007
02.08.01.09.13,Trubes Stethoscop,2007
02.08.01.09.14,Irrigator Stand Single,2007
02.08.01.09.15,Irigator Botle Complete With Irringating Tube,2007
02.08.01.09.16,Blader Syringe Single,2007
02.08.01.09.17,Nelaton Chateler Urether Ruber Catheter 12-14-16-18 fr,2007
02.08.01.09.18,"Metal Chateter for Female No. 8,9,10,11 dengan Bengkok",2007
02.08.01.09.19,Unblical clan,2007
02.08.01.09.20,Unblical Soissor 16 Cm Stainless Steel,2007
02.08.01.09.21,Unblical Cord Replating Set Instrumental,2007
02.08.01.09.22,Plasenta Basic Stainles Steel,2007
02.08.01.09.23,Baby Bath Tub,2007
02.08.01.09.24,Scale for New Born Baby Casity 15 Kgs,2007
02.08.01.09.25,Indewaling chathere infan feading,2007
02.08.01.09.26,Premature infans incubator,2007
02.08.01.09.27,Oxygen regulator,2007
02.08.01.09.28,Oxygen recistator for infans,2007
02.08.01.09.29,Hiswivery cufit bag,2007
02.08.01.09.30,Intravesous giving set,2007
02.08.01.09.31,Cusco Vaginal Speculum size LSM,2007
02.08.01.09.32,Crages Vaginal Speculum Size LSM,2007
02.08.01.09.33,Kreteler Vaginal Speculum,2007
02.08.01.09.34,Sinson Vaginal Retractor Siz LSM,2007
02.08.01.09.35,Braun Uterine syringe,2007
02.08.01.09.36,Dilator for Eclamsia set of 8pcs,2007
02.08.01.09.37,Uterine Catheler Dilating & Irrigating Steel,2007
02.08.01.09.38,Sinon Uterine Scoope 24 Cm Stainless Steel,2007
02.08.01.09.39,Bosemen Tampon Forceps 25 Cm,2007
02.08.01.09.40,Uterine tissu Forceps 23 Cm,2007
02.08.01.09.41,Uterine tissu Forceps 23 Cm Stainless Steel,2007
02.08.01.09.42,Schoder tissu Forceps 23 Cm Stainless Steel,2007
02.08.01.09.43,Schoder Vulseum Forceps,2007
02.08.01.09.44,Plasenta Forceps 28 Cm Stainless Steel,2007
02.08.01.09.45,"Sim Utarine Currete blunt sharp  No. 1, No. 425 ss",2007
02.08.01.09.46,Utarine scoope with burts 24 Cm ss,2007
02.08.01.09.47,Utrine biopsy Punc 24 Cm Stainless Steeel,2007
02.08.01.09.48,Thom geylor specement 22 Cm Stainless Steel,2007
02.08.01.09.49,"Slebold uterine scissor 24,5 Stainless Steel",2007
02.08.01.09.50,"Naegle obsterical forceps 35,5 Cm Stainless Steel",2007
